Location,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
AFR::CMR::West::Bandjoun Health District,West,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Mbandjock Health District,Centre,2013-07-22,2013-07-28,2013-07-28,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-10-28,2019-11-03,2019-11-03,23,0,0,
AFR::CMR::North::Lagdo Health District,North,2019-10-28,2019-11-03,2019-11-03,59,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2019-10-28,2019-11-03,2019-11-03,50,14,0,0.0
AFR::CMR::North::Golombe Health District,North,2019-10-28,2019-11-03,2019-11-03,47,12,0,0.0
AFR::CMR::North::Bibemi Health District,North,2019-10-28,2019-11-03,2019-11-03,31,14,0,0.0
AFR::CMR::North::Pitoa Health District,North,2019-10-28,2019-11-03,2019-11-03,173,0,0,
AFR::CMR::Far North::Kaele Health District,Far North,2019-10-28,2019-11-03,2019-11-03,40,0,0,
AFR::CMR::Far North::Guidiguis Health District,Far North,2019-10-21,2019-10-27,2019-10-27,59,40,0,0.0
AFR::CMR::Far North::Kaele Health District,Far North,2019-10-21,2019-10-27,2019-10-27,101,69,2,2.9
AFR::CMR::Far North::Maroua 2 Health District,Far North,2019-10-21,2019-10-27,2019-10-27,67,28,2,7.14
AFR::CMR::Far North::Makary Health District,Far North,2019-10-21,2019-10-27,2019-10-27,272,0,0,
AFR::CMR::North::Bibemi Health District,North,2019-09-23,2019-09-29,2019-09-29,71,43,0,0.0
AFR::CMR::North::Pitoa Health District,North,2019-09-23,2019-09-29,2019-09-29,39,11,0,0.0
AFR::CMR::North::Garoua 2 Health District,North,2019-09-23,2019-09-29,2019-09-29,39,17,0,0.0
AFR::CMR::North::Garoua 1 Health District,North,2019-09-23,2019-09-29,2019-09-29,0,0,0,
AFR::CMR::Far North::Maroua 1 Health District,Far North,2019-09-23,2019-09-29,2019-09-29,83,44,2,4.55
AFR::CMR::Far North::Kar Hay Health District,Far North,2019-09-23,2019-09-29,2019-09-29,65,39,0,0.0
AFR::CMR::Far North::Kaele Health District,Far North,2019-09-23,2019-09-29,2019-09-29,0,0,0,
AFR::CMR::Far North::Kaele Health District,Far North,2019-09-02,2019-09-08,2019-09-08,89,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-08-26,2019-09-01,2019-09-01,441,0,0,
AFR::CMR::Far North::Kar Hay Health District,Far North,2019-08-26,2019-09-01,2019-09-01,203,135,2,1.48
AFR::CMR::Far North::Makary Health District,Far North,2019-08-26,2019-09-01,2019-09-01,61,17,0,0.0
AFR::CMR::Far North::Guidiguis Health District,Far North,2019-08-26,2019-09-01,2019-09-01,60,38,1,2.63
AFR::CMR::Far North::Kaele Health District,Far North,2019-08-26,2019-09-01,2019-09-01,38,26,0,0.0
AFR::CMR::North::Garoua 1 Health District,North,2019-08-19,2019-08-25,2019-08-25,96,28,1,3.57
AFR::CMR::North::Garoua 2 Health District,North,2019-08-19,2019-08-25,2019-08-25,34,9,0,0.0
AFR::CMR::Far North::Kar Hay Health District,Far North,2019-08-19,2019-08-25,2019-08-25,133,61,1,1.64
AFR::CMR::Far North::Kaele Health District,Far North,2019-08-19,2019-08-25,2019-08-25,89,58,2,3.45
AFR::CMR::North::Garoua 2 Health District,North,2019-08-12,2019-08-18,2019-08-18,92,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-08-12,2019-08-18,2019-08-18,74,50,1,2.0
AFR::CMR::Far North::Makary Health District,Far North,2019-08-12,2019-08-18,2019-08-18,23,10,0,0.0
AFR::CMR::Far North::Kaele Health District,Far North,2019-08-12,2019-08-18,2019-08-18,26,16,0,0.0
AFR::CMR::North::Garoua 2 Health District,North,2019-07-22,2019-07-28,2019-07-28,65,35,0,0.0
AFR::CMR::Far North::Kaele Health District,Far North,2019-07-22,2019-07-28,2019-07-28,78,29,1,3.45
AFR::CMR::North::Figuil Health District,North,2019-07-15,2019-07-21,2019-07-21,27,9,0,0.0
AFR::CMR::North::Garoua 1 Health District,North,2019-07-15,2019-07-21,2019-07-21,53,32,1,3.12
AFR::CMR::North::Pitoa Health District,North,2019-07-15,2019-07-21,2019-07-21,48,14,0,0.0
AFR::CMR::North::Garoua 2 Health District,North,2019-07-15,2019-07-21,2019-07-21,159,57,1,1.75
AFR::CMR::Far North::Kaele Health District,Far North,2019-07-15,2019-07-21,2019-07-21,97,0,0,
AFR::CMR::North::Pitoa Health District,North,2019-07-08,2019-07-14,2019-07-14,41,17,0,0.0
AFR::CMR::North::Figuil Health District,North,2019-07-08,2019-07-14,2019-07-14,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2019-07-08,2019-07-14,2019-07-14,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-07-08,2019-07-14,2019-07-14,125,71,1,1.41
AFR::CMR::Far North::Kaele Health District,Far North,2019-07-08,2019-07-14,2019-07-14,46,29,0,0.0
AFR::CMR::North::Garoua 1 Health District,North,2019-07-01,2019-07-07,2019-07-07,81,22,1,4.55
AFR::CMR::North::Pitoa Health District,North,2019-07-01,2019-07-07,2019-07-07,56,31,0,0.0
AFR::CMR::North::Garoua 2 Health District,North,2019-05-27,2019-06-02,2019-06-02,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-05-27,2019-06-02,2019-06-02,54,26,0,0.0
AFR::CMR::North::Tchollire Health District,North,2019-05-20,2019-05-26,2019-05-26,41,21,0,0.0
AFR::CMR::West::Bafoussam Health District,West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Fotokol Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Dschang Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South-West::Muyuka Health District,South-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Kumbo East Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Pitoa Health District,North,2018-08-20,2018-08-26,2018-08-26,43,20,0,0.0
AFR::CMR::North-West::Kumbo West Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Ndu Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Nkambe Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2019-05-13,2019-05-19,2019-05-19,287,195,6,3.08
AFR::CMR::North::Bibemi Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Figuil Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Edea Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Logbaba Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Loum Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Manjo Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Mbanga Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Mbangue Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Melong Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Ngambe Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::East::Batouri Health District,East,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::East::Bertoua Health District,East,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Koza Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Mada Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Maga Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Makary Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Maroua 1 Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2016-01-11,2016-01-17,2016-01-17,0,0,0,
AFR::CMR::Far North::Maroua 2 Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Maroua 3 Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Meri Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Mindif Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2019-05-13,2019-05-19,2019-05-19,105,67,2,2.99
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::South::Meyomessala Health District,South,2016-01-11,2016-01-17,2016-01-17,0,0,0,
AFR::CMR::Centre::Mfou Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Monatele Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Nanga Eboko Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Ndikinimeki Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Ngog Mapubi Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Ngoumou Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Ntui Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Obala Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Okola Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Djoungolo Health District,Centre,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Centre::Cite Verte Health District,Centre,2019-05-13,2019-05-19,2019-05-19,72,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2019-04-08,2019-04-14,2019-04-14,39,14,0,0.0
AFR::CMR::North::Pitoa Health District,North,2019-04-01,2019-04-07,2019-04-07,59,33,0,0.0
AFR::CMR::North::Garoua 1 Health District,North,2019-03-25,2019-03-31,2019-03-31,43,15,0,0.0
AFR::CMR::North::Pitoa Health District,North,2019-03-25,2019-03-31,2019-03-31,55,33,1,3.03
AFR::CMR::West::Bafoussam Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Fotokol Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Dschang Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::South-West::Muyuka Health District,South-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Batcham Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Dschang Health District,West,2019-03-18,2019-03-24,2019-03-24,51,29,0,0.0
AFR::CMR::West::Fontem Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Foumban Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Kekem Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2019-03-18,2019-03-24,2019-03-24,61,0,0,
AFR::CMR::West::Mifi Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::West::Santchou Health District,West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North-West::Bali Health District,North-West,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2019-03-18,2019-03-24,2019-03-24,26,16,0,0.0
AFR::CMR::North::Gaschiga Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Golombe Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Guider Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Mayo Oulo Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Ngong Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Pitoa Health District,North,2019-03-18,2019-03-24,2019-03-24,25,11,0,0.0
AFR::CMR::North::Poli Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Rey Bouba Health District,North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::North::Tchollire Health District,North,2019-03-18,2019-03-24,2019-03-24,35,0,0,
AFR::CMR::North::Touboro Health District,North,2019-03-18,2019-03-24,2019-03-24,128,38,0,0.0
AFR::CMR::Littoral::Abo Health District,Littoral,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Littoral::Boko Health District,Littoral,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2019-03-18,2019-03-24,2019-03-24,53,23,0,0.0
AFR::CMR::East::Abong Mbang Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Batouri Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Bertoua Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Betare Oya Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Doume Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Kette Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Lomie Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Mbang Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Moloundou Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Maroua 2 Health District,Far North,2019-03-18,2019-03-24,2019-03-24,42,22,0,0.0
AFR::CMR::Far North::Maroua 3 Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Meri Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Mindif Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Far North::Yagoua Health District,Far North,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2019-03-18,2019-03-24,2019-03-24,0,0,0,
AFR::CMR::Centre::Mbalmayo Health District,Centre,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Centre::Mbandjock Health District,Centre,2012-05-28,2012-06-03,2012-06-03,159,87,2,2.3
AFR::CMR::Centre::Mbankomo Health District,Centre,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Centre::Monatele Health District,Centre,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Centre::Nanga Eboko Health District,Centre,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Centre::Ndikinimeki Health District,Centre,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Urban Health District,Adamaoua,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::Adamaoua::Tignere Health District,Adamaoua,2012-05-28,2012-06-03,2012-06-03,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Bakassi Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Bangem Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Baham Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Bamendjou Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Bandja Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Bangourain Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Batcham Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Foumban Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Galim Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Kouoptamo Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Massangam Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Mifi Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::West::Santchou Health District,West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North-West::Nwa Health District,North-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Figuil Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2012-05-21,2012-05-27,2012-05-27,55,36,1,2.78
AFR::CMR::North::Golombe Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2012-05-21,2012-05-27,2012-05-27,65,22,1,4.55
AFR::CMR::North::Mayo Oulo Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Ngong Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Poli Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::North::Rey Bouba Health District,North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Littoral::Nkondjock Health District,Littoral,2012-05-21,2012-05-27,2012-05-27,48,32,0,0.0
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Batouri Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Betare Oya Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Lomie Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Messamena Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Moloundou Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::(Maroua 1 Health District|Maroua 2 Health District|Maroua 3 Health District),Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Meri Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Mindif Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2012-05-21,2012-05-27,2012-05-27,7,3,0,0.0
AFR::CMR::Far North::Pette Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2012-05-21,2012-05-27,2012-05-27,20,5,0,0.0
AFR::CMR::Far North::Yagoua Health District,Far North,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Centre::Ngog Mapubi Health District,Centre,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Centre::Ngoumou Health District,Centre,2012-05-21,2012-05-27,2012-05-27,0,0,0,
AFR::CMR::Centre::Ntui Health District,Centre,2012-05-21,2012-05-27,2012-05-27,0,0,0,
