Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR
South,2017-04-23,2017-04-17,2017-04-23,0,0,0,0.0
South,2017-04-30,2017-04-24,2017-04-30,0,0,0,0.0
South,2017-05-07,2017-05-01,2017-05-07,0,0,0,0.0
South,2017-05-14,2017-05-08,2017-05-14,0,0,0,0.0
South,2017-05-21,2017-05-15,2017-05-21,188,125,3,2.4
South,2017-05-28,2017-05-22,2017-05-28,128,70,1,1.4285714285714286
South,2017-06-04,2017-05-29,2017-06-04,0,0,0,0.0
South,2017-06-11,2017-06-05,2017-06-11,73,19,0,0.0
South,2017-06-18,2017-06-12,2017-06-18,62,20,0,0.0
South,2017-06-25,2017-06-19,2017-06-25,0,0,0,0.0
South,2017-07-02,2017-06-26,2017-07-02,17,6,0,0.0
South,2017-07-09,2017-07-03,2017-07-09,0,0,0,0.0
South,2017-07-16,2017-07-10,2017-07-16,84,48,0,0.0
South,2017-07-23,2017-07-17,2017-07-23,0,0,0,0.0
South,2017-07-30,2017-07-24,2017-07-30,118,0,0,0.0
South,2017-08-06,2017-07-31,2017-08-06,28,18,0,0.0
South,2017-08-13,2017-08-07,2017-08-13,0,0,0,0.0
South,2017-08-20,2017-08-14,2017-08-20,30,10,0,0.0
South,2017-08-27,2017-08-21,2017-08-27,153,46,1,2.1739130434782608
South,2017-09-03,2017-08-28,2017-09-03,0,0,0,0.0
South,2017-09-10,2017-09-04,2017-09-10,44,11,0,0.0
South,2017-09-17,2017-09-11,2017-09-17,82,47,1,2.127659574468085
South,2017-09-24,2017-09-18,2017-09-24,53,25,0,0.0
South,2017-10-01,2017-09-25,2017-10-01,0,0,0,0.0
South,2017-10-08,2017-10-02,2017-10-08,112,54,1,1.851851851851852
South,2017-10-15,2017-10-09,2017-10-15,82,29,1,3.4482758620689653
South,2017-10-22,2017-10-16,2017-10-22,191,58,1,1.7241379310344829
South,2017-10-29,2017-10-23,2017-10-29,75,26,0,0.0
South,2017-11-05,2017-10-30,2017-11-05,126,45,1,2.2222222222222223
South,2017-11-12,2017-11-06,2017-11-12,0,0,0,0.0
South,2017-11-19,2017-11-13,2017-11-19,41,14,0,0.0
South,2017-11-26,2017-11-20,2017-11-26,0,0,0,0.0
South,2017-12-03,2017-11-27,2017-12-03,0,0,0,0.0
South,2017-12-10,2017-12-04,2017-12-10,20,5,0,0.0
South,2017-12-17,2017-12-11,2017-12-17,4,1,0,0.0
South,2017-12-24,2017-12-18,2017-12-24,6,0,0,0.0
South,2017-12-31,2017-12-25,2017-12-31,74,26,1,3.8461538461538463
South,2018-08-26,2018-08-20,2018-08-26,0,0,0,0.0
South,2019-12-29,2018-12-31,2019-12-29,0,0,0,0.0
South-West,2010-01-10,2010-01-04,2010-01-10,368,93,1,1.0752688172043012
South-West,2010-01-17,2010-01-11,2010-01-17,66,19,0,0.0
South-West,2010-01-24,2010-01-18,2010-01-24,62,26,0,0.0
South-West,2010-01-31,2010-01-25,2010-01-31,110,20,0,0.0
South-West,2010-02-07,2010-02-01,2010-02-07,259,78,2,2.564102564102564
South-West,2010-02-14,2010-02-08,2010-02-14,68,28,1,3.571428571428571
South-West,2010-02-21,2010-02-15,2010-02-21,145,58,0,0.0
South-West,2010-02-28,2010-02-22,2010-02-28,66,41,1,2.4390243902439024
South-West,2010-03-07,2010-03-01,2010-03-07,21,8,0,0.0
South-West,2010-03-14,2010-03-08,2010-03-14,0,0,0,0.0
South-West,2010-03-21,2010-03-15,2010-03-21,47,15,0,0.0
South-West,2010-03-28,2010-03-22,2010-03-28,0,0,0,0.0
South-West,2010-04-04,2010-03-29,2010-04-04,102,15,0,0.0
South-West,2010-04-11,2010-04-05,2010-04-11,135,41,1,2.4390243902439024
South-West,2010-04-18,2010-04-12,2010-04-18,131,0,0,0.0
South-West,2010-04-25,2010-04-19,2010-04-25,117,50,0,0.0
South-West,2010-05-02,2010-04-26,2010-05-02,0,0,0,0.0
South-West,2010-05-09,2010-05-03,2010-05-09,43,13,0,0.0
South-West,2010-05-16,2010-05-10,2010-05-16,149,59,0,0.0
South-West,2010-05-23,2010-05-17,2010-05-23,412,53,1,1.8867924528301887
South-West,2010-05-30,2010-05-24,2010-05-30,112,11,0,0.0
South-West,2010-06-06,2010-05-31,2010-06-06,30,13,0,0.0
South-West,2010-06-13,2010-06-07,2010-06-13,301,34,0,0.0
South-West,2010-06-20,2010-06-14,2010-06-20,114,64,1,1.5625
South-West,2010-06-27,2010-06-21,2010-06-27,402,84,1,1.1904761904761905
South-West,2010-07-04,2010-06-28,2010-07-04,0,0,0,0.0
South-West,2010-07-11,2010-07-05,2010-07-11,102,52,1,1.9230769230769231
South-West,2010-07-18,2010-07-12,2010-07-18,77,0,0,0.0
South-West,2010-07-25,2010-07-19,2010-07-25,298,97,3,3.09278350515464
South-West,2010-08-01,2010-07-26,2010-08-01,269,76,1,1.3157894736842104
South-West,2010-08-08,2010-08-02,2010-08-08,285,51,0,0.0
South-West,2010-08-15,2010-08-09,2010-08-15,145,65,1,1.5384615384615383
South-West,2010-08-22,2010-08-16,2010-08-22,121,72,2,2.7777777777777777
South-West,2010-08-29,2010-08-23,2010-08-29,43,0,0,0.0
South-West,2010-09-05,2010-08-30,2010-09-05,549,221,5,2.262443438914027
South-West,2010-09-12,2010-09-06,2010-09-12,79,42,0,0.0
South-West,2010-09-19,2010-09-13,2010-09-19,37,18,0,0.0
South-West,2010-09-26,2010-09-20,2010-09-26,25,10,0,0.0
South-West,2010-10-03,2010-09-27,2010-10-03,56,0,1,0.0
South-West,2010-10-10,2010-10-04,2010-10-10,0,0,0,0.0
South-West,2010-10-17,2010-10-11,2010-10-17,303,112,1,0.8928571428571428
South-West,2010-10-24,2010-10-18,2010-10-24,187,0,0,0.0
South-West,2010-10-31,2010-10-25,2010-10-31,358,95,2,2.1052631578947367
South-West,2010-11-07,2010-11-01,2010-11-07,243,83,1,1.2048192771084338
South-West,2010-11-14,2010-11-08,2010-11-14,133,62,2,3.225806451612903
South-West,2010-11-21,2010-11-15,2010-11-21,43,0,0,0.0
South-West,2010-11-28,2010-11-22,2010-11-28,54,26,1,3.8461538461538463
South-West,2010-12-05,2010-11-29,2010-12-05,231,96,3,3.125
South-West,2010-12-12,2010-12-06,2010-12-12,221,75,2,2.666666666666667
South-West,2010-12-19,2010-12-13,2010-12-19,130,45,1,2.2222222222222223
South-West,2010-12-26,2010-12-20,2010-12-26,218,67,1,1.4925373134328357
South-West,2011-01-02,2010-12-27,2011-01-02,173,27,0,0.0
South-West,2011-01-09,2011-01-03,2011-01-09,101,21,0,0.0
South-West,2011-01-16,2011-01-10,2011-01-16,102,21,1,4.761904761904762
South-West,2011-01-23,2011-01-17,2011-01-23,161,76,0,0.0
South-West,2011-01-30,2011-01-24,2011-01-30,131,49,1,2.0408163265306123
South-West,2011-02-06,2011-01-31,2011-02-06,192,47,0,0.0
South-West,2011-02-13,2011-02-07,2011-02-13,203,63,0,0.0
South-West,2011-02-20,2011-02-14,2011-02-20,233,72,1,1.3888888888888888
South-West,2011-02-27,2011-02-21,2011-02-27,156,70,1,1.4285714285714286
South-West,2011-03-06,2011-02-28,2011-03-06,282,110,3,2.727272727272727
South-West,2011-03-13,2011-03-07,2011-03-13,177,80,0,0.0
South-West,2011-03-20,2011-03-14,2011-03-20,181,62,1,1.6129032258064515
South-West,2011-03-27,2011-03-21,2011-03-27,144,36,0,0.0
South-West,2011-04-03,2011-03-28,2011-04-03,270,77,1,1.2987012987012987
South-West,2011-04-10,2011-04-04,2011-04-10,376,51,2,3.92156862745098
South-West,2011-04-17,2011-04-11,2011-04-17,168,93,3,3.225806451612903
South-West,2011-04-24,2011-04-18,2011-04-24,253,94,5,5.319148936170213
South-West,2011-05-01,2011-04-25,2011-05-01,329,105,3,2.857142857142857
South-West,2011-05-08,2011-05-02,2011-05-08,346,50,1,2.0
South-West,2011-05-15,2011-05-09,2011-05-15,487,211,5,2.3696682464454977
South-West,2011-05-22,2011-05-16,2011-05-22,383,151,2,1.3245033112582782
South-West,2011-05-29,2011-05-23,2011-05-29,547,141,4,2.8368794326241136
South-West,2011-06-05,2011-05-30,2011-06-05,434,186,1,0.5376344086021506
South-West,2011-06-12,2011-06-06,2011-06-12,411,178,4,2.247191011235955
South-West,2011-06-19,2011-06-13,2011-06-19,384,194,3,1.5463917525773196
South-West,2011-06-26,2011-06-20,2011-06-26,462,240,5,2.083333333333333
South-West,2011-07-03,2011-06-27,2011-07-03,581,193,5,2.5906735751295336
South-West,2011-07-10,2011-07-04,2011-07-10,388,63,1,1.5873015873015872
South-West,2011-07-17,2011-07-11,2011-07-17,268,124,2,1.6129032258064515
South-West,2011-07-24,2011-07-18,2011-07-24,337,112,3,2.6785714285714284
South-West,2011-07-31,2011-07-25,2011-07-31,229,50,0,0.0
South-West,2011-08-07,2011-08-01,2011-08-07,485,321,7,2.1806853582554515
South-West,2011-08-14,2011-08-08,2011-08-14,370,189,2,1.058201058201058
South-West,2011-08-21,2011-08-15,2011-08-21,371,147,2,1.3605442176870748
South-West,2011-08-28,2011-08-22,2011-08-28,200,0,0,0.0
South-West,2011-09-04,2011-08-29,2011-09-04,258,53,0,0.0
South-West,2011-09-11,2011-09-05,2011-09-11,450,141,1,0.7092198581560284
South-West,2011-09-18,2011-09-12,2011-09-18,541,191,5,2.6178010471204187
South-West,2011-09-25,2011-09-19,2011-09-25,345,63,2,3.1746031746031744
South-West,2011-10-02,2011-09-26,2011-10-02,516,43,1,2.3255813953488373
South-West,2011-10-09,2011-10-03,2011-10-09,192,0,1,0.0
South-West,2011-10-16,2011-10-10,2011-10-16,25,8,0,0.0
South-West,2011-10-23,2011-10-17,2011-10-23,218,107,1,0.9345794392523364
South-West,2011-10-30,2011-10-24,2011-10-30,47,0,0,0.0
South-West,2011-11-06,2011-10-31,2011-11-06,28,0,0,0.0
South-West,2011-11-13,2011-11-07,2011-11-13,16,10,0,0.0
South-West,2011-11-20,2011-11-14,2011-11-20,76,43,0,0.0
South-West,2011-11-27,2011-11-21,2011-11-27,66,23,1,4.3478260869565215
South-West,2011-12-04,2011-11-28,2011-12-04,107,51,1,1.96078431372549
South-West,2011-12-18,2011-12-12,2011-12-18,48,2,0,0.0
South-West,2011-12-25,2011-12-19,2011-12-25,82,4,0,0.0
South-West,2012-01-01,2011-12-26,2012-01-01,19,8,0,0.0
South-West,2012-01-08,2012-01-02,2012-01-08,45,11,0,0.0
South-West,2012-01-15,2012-01-09,2012-01-15,0,0,0,0.0
South-West,2012-01-22,2012-01-16,2012-01-22,0,0,0,0.0
South-West,2012-01-29,2012-01-23,2012-01-29,270,63,0,0.0
South-West,2012-02-05,2012-01-30,2012-02-05,24,0,0,0.0
South-West,2012-02-12,2012-02-06,2012-02-12,141,59,1,1.694915254237288
South-West,2012-02-19,2012-02-13,2012-02-19,0,0,0,0.0
South-West,2012-02-26,2012-02-20,2012-02-26,193,89,0,0.0
South-West,2012-03-04,2012-02-27,2012-03-04,62,25,0,0.0
South-West,2012-03-11,2012-03-05,2012-03-11,48,7,0,0.0
South-West,2012-03-18,2012-03-12,2012-03-18,0,0,0,0.0
South-West,2012-03-25,2012-03-19,2012-03-25,28,10,0,0.0
South-West,2012-04-01,2012-03-26,2012-04-01,135,0,0,0.0
South-West,2012-04-08,2012-04-02,2012-04-08,47,19,0,0.0
South-West,2012-04-15,2012-04-09,2012-04-15,35,11,0,0.0
South-West,2012-04-22,2012-04-16,2012-04-22,5,2,0,0.0
South-West,2012-04-29,2012-04-23,2012-04-29,56,0,0,0.0
South-West,2012-05-06,2012-04-30,2012-05-06,92,7,0,0.0
South-West,2012-05-13,2012-05-07,2012-05-13,153,28,2,7.142857142857142
South-West,2012-05-20,2012-05-14,2012-05-20,136,53,0,0.0
South-West,2012-05-27,2012-05-21,2012-05-27,74,42,0,0.0
South-West,2012-06-03,2012-05-28,2012-06-03,782,280,6,2.142857142857143
South-West,2012-06-10,2012-06-04,2012-06-10,108,0,0,0.0
South-West,2012-06-17,2012-06-11,2012-06-17,124,60,1,1.6666666666666667
South-West,2012-06-24,2012-06-18,2012-06-24,525,263,6,2.281368821292776
South-West,2012-07-01,2012-06-25,2012-07-01,0,0,0,0.0
South-West,2012-07-08,2012-07-02,2012-07-08,241,61,0,0.0
South-West,2012-07-15,2012-07-09,2012-07-15,276,172,4,2.3255813953488373
South-West,2012-07-22,2012-07-16,2012-07-22,115,13,0,0.0
South-West,2012-07-29,2012-07-23,2012-07-29,80,0,0,0.0
South-West,2012-08-05,2012-07-30,2012-08-05,486,281,7,2.491103202846975
South-West,2012-08-12,2012-08-06,2012-08-12,98,36,1,2.7777777777777777
South-West,2012-08-19,2012-08-13,2012-08-19,60,0,0,0.0
South-West,2012-08-26,2012-08-20,2012-08-26,83,50,1,2.0
South-West,2012-09-02,2012-08-27,2012-09-02,215,88,2,2.272727272727273
South-West,2012-09-09,2012-09-03,2012-09-09,109,53,1,1.8867924528301887
South-West,2012-09-16,2012-09-10,2012-09-16,30,11,0,0.0
South-West,2012-09-23,2012-09-17,2012-09-23,23,0,0,0.0
South-West,2012-09-30,2012-09-24,2012-09-30,359,165,4,2.4242424242424243
South-West,2012-10-07,2012-10-01,2012-10-07,241,95,2,2.1052631578947367
South-West,2012-10-14,2012-10-08,2012-10-14,250,78,1,1.282051282051282
South-West,2012-10-21,2012-10-15,2012-10-21,373,164,4,2.4390243902439024
South-West,2012-10-28,2012-10-22,2012-10-28,455,118,4,3.389830508474576
South-West,2012-11-04,2012-10-29,2012-11-04,344,224,2,0.8928571428571428
South-West,2012-11-11,2012-11-05,2012-11-11,148,99,4,4.040404040404041
South-West,2012-11-18,2012-11-12,2012-11-18,142,13,0,0.0
South-West,2012-11-25,2012-11-19,2012-11-25,75,33,0,0.0
South-West,2012-12-02,2012-11-26,2012-12-02,0,0,0,0.0
South-West,2012-12-09,2012-12-03,2012-12-09,83,39,0,0.0
South-West,2012-12-16,2012-12-10,2012-12-16,63,13,0,0.0
South-West,2012-12-23,2012-12-17,2012-12-23,45,0,0,0.0
South-West,2012-12-30,2012-12-24,2012-12-30,0,0,0,0.0
South-West,2013-01-06,2012-12-31,2013-01-06,22,10,0,0.0
South-West,2013-01-13,2013-01-07,2013-01-13,23,7,0,0.0
South-West,2013-01-20,2013-01-14,2013-01-20,14,6,0,0.0
South-West,2013-01-27,2013-01-21,2013-01-27,213,78,2,2.564102564102564
South-West,2013-02-03,2013-01-28,2013-02-03,41,10,0,0.0
South-West,2013-02-10,2013-02-04,2013-02-10,169,57,1,1.7543859649122806
South-West,2013-02-17,2013-02-11,2013-02-17,101,46,3,6.521739130434782
South-West,2013-02-24,2013-02-18,2013-02-24,96,33,1,3.0303030303030303
South-West,2013-03-03,2013-02-25,2013-03-03,15,5,0,0.0
South-West,2013-03-10,2013-03-04,2013-03-10,0,0,0,0.0
South-West,2013-03-17,2013-03-11,2013-03-17,186,58,0,0.0
South-West,2013-03-24,2013-03-18,2013-03-24,128,44,0,0.0
South-West,2013-03-31,2013-03-25,2013-03-31,22,11,0,0.0
South-West,2013-04-07,2013-04-01,2013-04-07,331,38,0,0.0
South-West,2013-04-14,2013-04-08,2013-04-14,432,125,1,0.8
South-West,2013-04-21,2013-04-15,2013-04-21,206,65,2,3.076923076923077
South-West,2013-04-28,2013-04-22,2013-04-28,103,41,1,2.4390243902439024
South-West,2013-05-05,2013-04-29,2013-05-05,174,66,2,3.0303030303030303
South-West,2013-05-12,2013-05-06,2013-05-12,39,13,0,0.0
South-West,2013-05-19,2013-05-13,2013-05-19,395,185,4,2.1621621621621623
South-West,2013-05-26,2013-05-20,2013-05-26,150,0,0,0.0
South-West,2013-06-02,2013-05-27,2013-06-02,344,150,2,1.3333333333333337
South-West,2013-06-09,2013-06-03,2013-06-09,351,135,2,1.4814814814814816
South-West,2013-06-16,2013-06-10,2013-06-16,89,39,1,2.564102564102564
South-West,2013-06-23,2013-06-17,2013-06-23,162,15,0,0.0
South-West,2013-06-30,2013-06-24,2013-06-30,107,51,1,1.96078431372549
South-West,2013-07-07,2013-07-01,2013-07-07,0,0,0,0.0
South-West,2013-07-14,2013-07-08,2013-07-14,411,199,3,1.507537688442211
South-West,2013-07-21,2013-07-15,2013-07-21,84,33,0,0.0
South-West,2013-07-28,2013-07-22,2013-07-28,169,93,2,2.1505376344086025
South-West,2013-08-04,2013-07-29,2013-08-04,320,114,1,0.8771929824561403
South-West,2013-08-11,2013-08-05,2013-08-11,261,55,1,1.818181818181818
South-West,2013-08-18,2013-08-12,2013-08-18,219,120,3,2.5
South-West,2013-08-25,2013-08-19,2013-08-25,180,29,0,0.0
South-West,2013-09-01,2013-08-26,2013-09-01,687,150,4,2.666666666666667
South-West,2013-09-08,2013-09-02,2013-09-08,61,19,0,0.0
South-West,2013-09-15,2013-09-09,2013-09-15,137,30,0,0.0
South-West,2013-09-22,2013-09-16,2013-09-22,328,171,3,1.7543859649122806
South-West,2013-09-29,2013-09-23,2013-09-29,687,325,7,2.1538461538461537
South-West,2013-10-06,2013-09-30,2013-10-06,0,0,0,0.0
South-West,2013-10-13,2013-10-07,2013-10-13,297,0,1,0.0
South-West,2013-10-20,2013-10-14,2013-10-20,229,117,3,2.564102564102564
South-West,2013-10-27,2013-10-21,2013-10-27,358,170,3,1.7647058823529411
South-West,2013-11-03,2013-10-28,2013-11-03,0,0,0,0.0
South-West,2013-11-10,2013-11-04,2013-11-10,164,55,1,1.818181818181818
South-West,2013-11-17,2013-11-11,2013-11-17,851,340,7,2.0588235294117645
South-West,2013-11-24,2013-11-18,2013-11-24,29,15,0,0.0
South-West,2013-12-01,2013-11-25,2013-12-01,129,0,0,0.0
South-West,2013-12-08,2013-12-02,2013-12-08,123,46,1,2.1739130434782608
South-West,2013-12-15,2013-12-09,2013-12-15,44,24,0,0.0
South-West,2013-12-22,2013-12-16,2013-12-22,143,55,0,0.0
South-West,2013-12-29,2013-12-23,2013-12-29,25,9,0,0.0
South-West,2014-01-05,2013-12-30,2014-01-05,0,0,0,0.0
South-West,2014-01-12,2014-01-06,2014-01-12,121,41,0,0.0
South-West,2014-01-19,2014-01-13,2014-01-19,15,0,0,0.0
South-West,2014-01-26,2014-01-20,2014-01-26,0,0,0,0.0
South-West,2014-02-02,2014-01-27,2014-02-02,174,36,0,0.0
South-West,2014-02-09,2014-02-03,2014-02-09,31,10,0,0.0
South-West,2014-02-16,2014-02-10,2014-02-16,131,47,0,0.0
South-West,2014-02-23,2014-02-17,2014-02-23,51,12,0,0.0
South-West,2014-03-02,2014-02-24,2014-03-02,264,94,0,0.0
South-West,2014-03-09,2014-03-03,2014-03-09,11,5,0,0.0
South-West,2014-03-16,2014-03-10,2014-03-16,184,81,0,0.0
South-West,2014-03-23,2014-03-17,2014-03-23,65,18,0,0.0
South-West,2014-03-30,2014-03-24,2014-03-30,108,13,0,0.0
South-West,2014-04-06,2014-03-31,2014-04-06,30,12,0,0.0
South-West,2014-04-13,2014-04-07,2014-04-13,9,0,0,0.0
South-West,2014-04-20,2014-04-14,2014-04-20,77,36,1,2.7777777777777777
South-West,2014-04-27,2014-04-21,2014-04-27,260,111,1,0.9009009009009008
South-West,2014-05-04,2014-04-28,2014-05-04,148,0,1,0.0
South-West,2014-05-11,2014-05-05,2014-05-11,0,0,0,0.0
South-West,2014-05-18,2014-05-12,2014-05-18,0,0,0,0.0
South-West,2014-05-25,2014-05-19,2014-05-25,132,43,0,0.0
South-West,2014-06-01,2014-05-26,2014-06-01,72,9,0,0.0
South-West,2014-06-08,2014-06-02,2014-06-08,60,40,1,2.5
South-West,2014-06-15,2014-06-09,2014-06-15,179,75,2,2.666666666666667
South-West,2014-06-22,2014-06-16,2014-06-22,368,5,0,0.0
South-West,2014-06-29,2014-06-23,2014-06-29,100,39,0,0.0
South-West,2014-07-06,2014-06-30,2014-07-06,575,249,3,1.2048192771084338
South-West,2014-07-13,2014-07-07,2014-07-13,516,21,0,0.0
South-West,2014-07-20,2014-07-14,2014-07-20,166,82,2,2.4390243902439024
South-West,2014-07-27,2014-07-21,2014-07-27,94,0,0,0.0
South-West,2014-08-03,2014-07-28,2014-08-03,92,56,1,1.7857142857142856
South-West,2014-08-10,2014-08-04,2014-08-10,281,95,2,2.1052631578947367
South-West,2014-08-17,2014-08-11,2014-08-17,123,73,1,1.36986301369863
South-West,2014-08-24,2014-08-18,2014-08-24,90,28,0,0.0
South-West,2014-08-31,2014-08-25,2014-08-31,87,42,1,2.380952380952381
South-West,2014-09-07,2014-09-01,2014-09-07,192,20,0,0.0
South-West,2014-09-14,2014-09-08,2014-09-14,92,38,0,0.0
South-West,2014-09-21,2014-09-15,2014-09-21,0,0,0,0.0
South-West,2014-09-28,2014-09-22,2014-09-28,94,17,0,0.0
South-West,2014-10-05,2014-09-29,2014-10-05,493,237,4,1.6877637130801686
South-West,2014-10-12,2014-10-06,2014-10-12,106,26,1,3.8461538461538463
South-West,2014-10-19,2014-10-13,2014-10-19,517,150,2,1.3333333333333337
South-West,2014-10-26,2014-10-20,2014-10-26,109,61,1,1.639344262295082
South-West,2014-11-02,2014-10-27,2014-11-02,0,0,0,0.0
South-West,2014-11-09,2014-11-03,2014-11-09,37,16,0,0.0
South-West,2014-11-16,2014-11-10,2014-11-16,60,0,0,0.0
South-West,2014-11-23,2014-11-17,2014-11-23,34,12,0,0.0
South-West,2014-11-30,2014-11-24,2014-11-30,126,15,0,0.0
South-West,2014-12-07,2014-12-01,2014-12-07,72,39,0,0.0
South-West,2014-12-14,2014-12-08,2014-12-14,0,0,0,0.0
South-West,2014-12-21,2014-12-15,2014-12-21,70,31,0,0.0
South-West,2014-12-28,2014-12-22,2014-12-28,85,7,0,0.0
South-West,2015-01-04,2014-12-29,2015-01-04,64,36,1,2.7777777777777777
South-West,2015-01-11,2015-01-05,2015-01-11,30,13,0,0.0
South-West,2015-01-18,2015-01-12,2015-01-18,44,18,0,0.0
South-West,2015-01-25,2015-01-19,2015-01-25,6,0,0,0.0
South-West,2015-02-01,2015-01-26,2015-02-01,33,18,0,0.0
South-West,2015-02-08,2015-02-02,2015-02-08,108,6,0,0.0
South-West,2015-02-15,2015-02-09,2015-02-15,64,26,0,0.0
South-West,2015-02-22,2015-02-16,2015-02-22,69,38,1,2.631578947368421
South-West,2015-03-01,2015-02-23,2015-03-01,324,108,2,1.851851851851852
South-West,2015-03-08,2015-03-02,2015-03-08,160,38,1,2.631578947368421
South-West,2015-03-15,2015-03-09,2015-03-15,0,0,0,0.0
South-West,2015-03-22,2015-03-16,2015-03-22,50,22,0,0.0
South-West,2015-03-29,2015-03-23,2015-03-29,162,38,0,0.0
South-West,2015-04-05,2015-03-30,2015-04-05,67,24,0,0.0
South-West,2015-04-12,2015-04-06,2015-04-12,105,57,1,1.7543859649122806
South-West,2015-04-19,2015-04-13,2015-04-19,264,102,4,3.92156862745098
South-West,2015-04-26,2015-04-20,2015-04-26,0,0,0,0.0
South-West,2015-05-03,2015-04-27,2015-05-03,0,0,0,0.0
South-West,2015-05-10,2015-05-04,2015-05-10,142,0,0,0.0
South-West,2015-05-17,2015-05-11,2015-05-17,150,0,0,0.0
South-West,2015-05-24,2015-05-18,2015-05-24,151,84,4,4.761904761904762
South-West,2015-05-31,2015-05-25,2015-05-31,105,36,1,2.7777777777777777
South-West,2015-06-07,2015-06-01,2015-06-07,0,0,0,0.0
South-West,2015-06-14,2015-06-08,2015-06-14,374,186,3,1.6129032258064515
South-West,2015-06-21,2015-06-15,2015-06-21,126,44,1,2.272727272727273
South-West,2015-06-28,2015-06-22,2015-06-28,206,72,1,1.3888888888888888
South-West,2015-07-05,2015-06-29,2015-07-05,124,57,1,1.7543859649122806
South-West,2015-07-12,2015-07-06,2015-07-12,104,61,1,1.639344262295082
South-West,2015-07-19,2015-07-13,2015-07-19,328,159,2,1.257861635220126
South-West,2015-07-26,2015-07-20,2015-07-26,304,156,2,1.282051282051282
South-West,2015-08-02,2015-07-27,2015-08-02,123,35,1,2.857142857142857
South-West,2015-08-09,2015-08-03,2015-08-09,168,60,0,0.0
South-West,2015-08-16,2015-08-10,2015-08-16,90,25,0,0.0
South-West,2015-08-23,2015-08-17,2015-08-23,659,342,6,1.7543859649122806
South-West,2015-08-30,2015-08-24,2015-08-30,319,0,0,0.0
South-West,2015-09-06,2015-08-31,2015-09-06,60,0,0,0.0
South-West,2015-09-13,2015-09-07,2015-09-13,116,28,0,0.0
South-West,2015-09-20,2015-09-14,2015-09-20,254,83,0,0.0
South-West,2015-09-27,2015-09-21,2015-09-27,121,48,1,2.083333333333333
South-West,2015-10-04,2015-09-28,2015-10-04,0,0,0,0.0
South-West,2015-10-11,2015-10-05,2015-10-11,336,103,3,2.912621359223301
South-West,2015-10-18,2015-10-12,2015-10-18,223,124,3,2.419354838709677
South-West,2015-10-25,2015-10-19,2015-10-25,182,64,0,0.0
South-West,2015-11-01,2015-10-26,2015-11-01,315,56,1,1.7857142857142856
South-West,2015-11-08,2015-11-02,2015-11-08,2,1,0,0.0
South-West,2015-11-15,2015-11-09,2015-11-15,187,60,0,0.0
South-West,2015-11-22,2015-11-16,2015-11-22,115,22,0,0.0
South-West,2015-11-29,2015-11-23,2015-11-29,9,0,0,0.0
South-West,2015-12-06,2015-11-30,2015-12-06,17,9,0,0.0
South-West,2015-12-13,2015-12-07,2015-12-13,0,0,0,0.0
South-West,2015-12-20,2015-12-14,2015-12-20,144,20,0,0.0
South-West,2015-12-27,2015-12-21,2015-12-27,0,0,0,0.0
South-West,2016-01-10,2016-01-04,2016-01-10,0,0,0,0.0
South-West,2016-01-17,2016-01-11,2016-01-17,0,0,0,0.0
South-West,2016-01-24,2016-01-18,2016-01-24,0,0,0,0.0
South-West,2016-01-31,2016-01-25,2016-01-31,0,0,0,0.0
South-West,2016-02-07,2016-02-01,2016-02-07,33,11,0,0.0
South-West,2016-02-14,2016-02-08,2016-02-14,0,0,0,0.0
South-West,2016-02-21,2016-02-15,2016-02-21,0,0,0,0.0
South-West,2016-02-28,2016-02-22,2016-02-28,0,0,0,0.0
South-West,2016-03-06,2016-02-29,2016-03-06,12,3,0,0.0
South-West,2016-03-13,2016-03-07,2016-03-13,167,92,2,2.1739130434782608
South-West,2016-03-20,2016-03-14,2016-03-20,183,64,1,1.5625
South-West,2016-03-27,2016-03-21,2016-03-27,142,32,1,3.125
South-West,2016-04-03,2016-03-28,2016-04-03,225,104,1,0.9615384615384616
South-West,2016-04-10,2016-04-04,2016-04-10,194,39,0,0.0
South-West,2016-04-17,2016-04-11,2016-04-17,248,89,1,1.1235955056179776
South-West,2016-04-24,2016-04-18,2016-04-24,199,89,1,1.1235955056179776
South-West,2016-05-01,2016-04-25,2016-05-01,154,48,0,0.0
South-West,2016-05-08,2016-05-02,2016-05-08,299,116,5,4.310344827586207
South-West,2016-05-15,2016-05-09,2016-05-15,77,0,0,0.0
South-West,2016-05-22,2016-05-16,2016-05-22,206,87,2,2.2988505747126435
South-West,2016-05-29,2016-05-23,2016-05-29,97,37,1,2.702702702702702
South-West,2016-06-05,2016-05-30,2016-06-05,105,39,0,0.0
South-West,2016-06-12,2016-06-06,2016-06-12,574,163,5,3.067484662576687
South-West,2016-06-19,2016-06-13,2016-06-19,286,136,1,0.7352941176470588
South-West,2016-06-26,2016-06-20,2016-06-26,61,18,0,0.0
South-West,2016-07-03,2016-06-27,2016-07-03,77,40,1,2.5
South-West,2016-07-10,2016-07-04,2016-07-10,371,236,9,3.8135593220338975
South-West,2016-07-17,2016-07-11,2016-07-17,338,167,1,0.5988023952095809
South-West,2016-07-24,2016-07-18,2016-07-24,509,56,1,1.7857142857142856
South-West,2016-07-31,2016-07-25,2016-07-31,636,146,3,2.054794520547945
South-West,2016-08-07,2016-08-01,2016-08-07,473,251,6,2.3904382470119523
